"","hashed_userid","masked_username","location","following","followers","totaltweets","usercreateddt","tweetid","tweetcreatedts","retweetcount","text","hashtags","language","favorite_count","is_retweet","original_tweet_id","in_reply_to_status_id","is_quote_status","quoted_status_id","extractedts"
2575,48208024284467109008,"******james","Loudmusicville, NC",2177,951,24507,"2016-04-15",1543398426850873345,"2022-07-03 00:57:14.000000",17,"The greatness of a nation lies not in its ability to do what is right for some but in its ability to do what is right for all. #4thOfJuly 🇺🇸 https://t.co/MY11K6sT8F","[{'text': '4thOfJuly', 'indices': [127, 137]}]","en",0,True,1543253771966357504,0,False,0,"2022-07-03 04:36:17.172025"
2576,17525024013522654049,"********yLovers","",2433,2438,42702,"2015-12-26",1543398443388997635,"2022-07-03 00:57:18.000000",5,"Happy 4th of July weekend 🇺🇸 #FourthofJulyWeekend #4thofJulyWeekend #July4th #4thOfJuly #yorkie #cute #cutedogs #cutedog #love #puppylove #dog #doggy #dogs #dogsoftwitter #DogsOfTwitter #doglife #doglove #DogLover #doglovers https://t.co/6XfmhhWYoi","[{'text': 'FourthofJulyWeekend', 'indices': [29, 49]}, {'text': '4thofJulyWeekend', 'indices': [50, 67]}, {'text': 'July4th', 'indices': [68, 76]}, {'text': '4thOfJuly', 'indices': [77, 87]}, {'text': 'yorkie', 'indices': [88, 95]}, {'text': 'cute', 'indices': [96, 101]}, {'text': 'cutedogs', 'indices': [102, 111]}, {'text': 'cutedog', 'indices': [112, 120]}, {'text': 'love', 'indices': [121, 126]}, {'text': 'puppylove', 'indices': [127, 137]}, {'text': 'dog', 'indices': [138, 142]}, {'text': 'doggy', 'indices': [143, 149]}, {'text': 'dogs', 'indices': [150, 155]}, {'text': 'dogsoftwitter', 'indices': [156, 170]}, {'text': 'DogsOfTwitter', 'indices': [171, 185]}, {'text': 'doglife', 'indices': [186, 194]}, {'text': 'doglove', 'indices': [195, 203]}, {'text': 'DogLover', 'indices': [204, 213]}, {'text': 'doglovers', 'indices': [214, 224]}]","en",0,True,1543263882319364096,0,False,0,"2022-07-03 04:36:17.159668"
2577,15929185568712022517,"*****ver47","Kingston, NY",11957,36741,213294,"2008-08-25",1543398478499438597,"2022-07-03 00:57:26.000000",15,"@Deoliver47 ICYMI, check out my op-ed on Frederick Douglass' speech, ""What to the Slave is the #4thofJuly"" and its continued relevance. 🗣️

#July4th  https://t.co/Cb7sEx55p8","[{'text': '4thofJuly', 'indices': [95, 105]}, {'text': 'July4th', 'indices': [140, 148]}]","en",0,True,1543344826384531456,0,False,0,"2022-07-03 04:36:17.147118"
2578,12387437909769369631,"*******ulyInu","",1,3,1,"2022-07-02",1543398481620082689,"2022-07-03 00:57:27.000000",0,"We are live!

https://t.co/SaKHcz1eSZ

#4thOfJuly #Happy4th https://t.co/ObU77IDLUn","[{'text': '4thOfJuly', 'indices': [39, 49]}, {'text': 'Happy4th', 'indices': [50, 59]}]","en",0,False,0,0,False,0,"2022-07-03 13:36:56.122943"
2579,45189341441268991384,"****e97","Jersey 💜 Greenville, SC 🇺🇸",1361,1238,36665,"2012-03-05",1543398491036291072,"2022-07-03 00:57:29.000000",0,"Ummm, I would be there in 10 minutes if we lived nearby! ⚡️

#Starbies 🌟☕️🌟 for the SuperStars!! #USA! 🇺🇸🥍🤩🦅 https://t.co/xuXOeeEHxJ","[{'text': 'Starbies', 'indices': [61, 70]}, {'text': 'USA', 'indices': [97, 101]}]","en",3,False,0,0,True,1543390689077051392,"2022-07-03 03:05:56.153598"
2580,67740290435382029651,"*****ejae","",49,529,343483,"2010-08-19",1543398505489711105,"2022-07-03 00:57:33.000000",44,"I tell you what, I’ll be in a celebratory mood this #FourthofJulyWeekend if, and only if, I see trump getting dragged out of Mar-a-Lardo in a pair of tiny handcuffs.","[{'text': 'FourthofJulyWeekend', 'indices': [52, 72]}]","en",0,True,1543370989924335616,0,False,0,"2022-07-03 04:36:17.122089"
2581,61844523838367565463,"*******lleyOH","Ohio, USA",16314,16287,37372,"2017-08-07",1543398532677263360,"2022-07-03 00:57:39.000000",0,"To a peaceful #IndependenceDay weekend. 🍻🎆 🇺🇸 https://t.co/qC5kC7sKEb","[{'text': 'IndependenceDay', 'indices': [14, 30]}]","en",0,False,0,0,False,0,"2022-07-03 04:06:04.964369"
2582,44948249998811244562,"******evlin5","A free nation at any cost",867,988,19069,"2019-11-13",1543398557058830337,"2022-07-03 00:57:45.000000",1,"Nothing like a #CanadaDay where the people need on-site access to legal counsel...
...who are subsequently threatened by police for being there to help anyone threatened by police!
#USA #Canada https://t.co/1ICRjdqa9p","[{'text': 'CanadaDay', 'indices': [15, 25]}, {'text': 'USA', 'indices': [181, 185]}, {'text': 'Canada', 'indices': [186, 193]}]","en",1,False,0,0,True,1543088527415447552,"2022-07-03 03:05:56.131465"
2583,51241408995848867447,"********gFreed1","Scottsdale",453,303,15780,"2020-02-11",1543398584669782017,"2022-07-03 00:57:52.000000",0,"Cassidy Hutchinson’s testimony is too incriminating for the DOJ to ignore #CountryOverParty #July4th #January6thHearings #TrumpCoupAttempt #GopTraitors https://t.co/EQ8H0NOcTe","[{'text': 'CountryOverParty', 'indices': [74, 91]}, {'text': 'July4th', 'indices': [92, 100]}, {'text': 'January6thHearings', 'indices': [101, 120]}, {'text': 'TrumpCoupAttempt', 'indices': [121, 138]}, {'text': 'GopTraitors', 'indices': [139, 151]}]","en",0,False,0,0,False,0,"2022-07-03 04:06:04.952526"
2584,6163128148051540567,"******oddard","Los Angeles",2056,1520,6109,"2011-02-15",1543398610976485376,"2022-07-03 00:57:58.000000",98,"Don’t let your July 4th celebration start a fire. If legal in your area and you are making “Safe and Sane” fireworks part of your #4thOfJuly celebration, take the time to use them safely. Learn more at https://t.co/j30sDs5GyX https://t.co/V0EQBoQSPu","[{'text': '4thOfJuly', 'indices': [130, 140]}]","en",0,True,1542591298560872448,0,False,0,"2022-07-03 04:36:17.109609"
